
step 0: train loss 10.9873, val loss 10.9915
/home/yxdong/anaconda3/envs/dyx-py38/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:131: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
iter 1660: loss 6.3152, time 650.65ms, mfu 4.23%
iter 1670: loss 6.0500, time 650.25ms, mfu 4.24%
iter 1680: loss 6.7053, time 650.05ms, mfu 4.25%
iter 1690: loss 6.7747, time 651.14ms, mfu 4.25%
iter 1700: loss 6.3769, time 650.25ms, mfu 4.26%
iter 1710: loss 6.4463, time 649.94ms, mfu 4.27%
iter 1720: loss 6.4541, time 651.52ms, mfu 4.27%
iter 1730: loss 6.2782, time 648.66ms, mfu 4.28%
iter 1740: loss 6.6911, time 649.93ms, mfu 4.28%
iter 1750: loss 6.6594, time 649.54ms, mfu 4.28%
iter 1760: loss 6.1263, time 650.89ms, mfu 4.29%
iter 1770: loss 6.3655, time 651.13ms, mfu 4.29%
iter 1780: loss 6.2027, time 650.37ms, mfu 4.29%
iter 1790: loss 5.7601, time 649.41ms, mfu 4.29%
iter 1800: loss 6.2373, time 650.63ms, mfu 4.30%
iter 1810: loss 6.3780, time 649.26ms, mfu 4.30%
iter 1820: loss 6.2040, time 649.33ms, mfu 4.30%
iter 1830: loss 5.8790, time 650.42ms, mfu 4.30%
iter 1840: loss 6.1948, time 649.44ms, mfu 4.30%
iter 1850: loss 6.0949, time 651.73ms, mfu 4.30%
iter 1860: loss 6.0807, time 650.13ms, mfu 4.30%
iter 1870: loss 6.5814, time 652.09ms, mfu 4.30%
iter 1880: loss 6.2239, time 651.10ms, mfu 4.30%
iter 1890: loss 6.4330, time 650.12ms, mfu 4.31%
iter 1900: loss 6.2990, time 651.09ms, mfu 4.31%
iter 1910: loss 6.1038, time 650.49ms, mfu 4.31%
iter 1920: loss 5.6584, time 650.13ms, mfu 4.31%
iter 1930: loss 5.9948, time 649.35ms, mfu 4.31%
iter 1940: loss 6.0055, time 651.59ms, mfu 4.31%
iter 1950: loss 6.2203, time 648.56ms, mfu 4.31%
iter 1960: loss 5.9378, time 649.29ms, mfu 4.31%
iter 1970: loss 6.3255, time 650.63ms, mfu 4.31%
iter 1980: loss 6.7193, time 648.82ms, mfu 4.31%
iter 1990: loss 5.9966, time 649.09ms, mfu 4.31%
step 2000: train loss 6.1596, val loss 6.1642
saving checkpoint to out
iter 2000: loss 6.5342, time 17843.05ms, mfu 3.90%
iter 2010: loss 5.8360, time 649.85ms, mfu 3.94%
iter 2020: loss 6.5135, time 647.74ms, mfu 3.98%
iter 2030: loss 6.0046, time 649.47ms, mfu 4.01%
iter 2040: loss 5.7962, time 648.62ms, mfu 4.04%
iter 2050: loss 6.2023, time 650.90ms, mfu 4.07%
iter 2060: loss 6.0050, time 650.49ms, mfu 4.09%
iter 2070: loss 6.6257, time 650.92ms, mfu 4.12%
iter 2080: loss 6.4993, time 650.83ms, mfu 4.14%
iter 2090: loss 5.8640, time 652.78ms, mfu 4.15%
iter 2100: loss 6.0349, time 650.34ms, mfu 4.17%
iter 2110: loss 5.9827, time 650.67ms, mfu 4.18%
iter 2120: loss 6.2197, time 649.06ms, mfu 4.20%
iter 2130: loss 6.3706, time 649.47ms, mfu 4.21%
iter 2140: loss 6.1639, time 651.66ms, mfu 4.22%
iter 2150: loss 6.4847, time 652.97ms, mfu 4.23%
iter 2160: loss 5.8764, time 649.82ms, mfu 4.24%
iter 2170: loss 6.1554, time 649.55ms, mfu 4.24%
iter 2180: loss 6.0702, time 650.46ms, mfu 4.25%
iter 2190: loss 6.5418, time 652.97ms, mfu 4.26%
iter 2200: loss 6.0361, time 651.08ms, mfu 4.26%
iter 2210: loss 6.1785, time 650.62ms, mfu 4.27%
iter 2220: loss 6.1135, time 648.40ms, mfu 4.27%
iter 2230: loss 6.1046, time 648.70ms, mfu 4.28%
iter 2240: loss 6.1163, time 650.99ms, mfu 4.28%
iter 2250: loss 5.7849, time 653.42ms, mfu 4.28%
iter 2260: loss 6.2158, time 653.87ms, mfu 4.28%
iter 2270: loss 5.6743, time 650.80ms, mfu 4.29%
iter 2280: loss 5.9115, time 652.02ms, mfu 4.29%
iter 2290: loss 6.3754, time 651.22ms, mfu 4.29%
iter 2300: loss 5.9171, time 650.78ms, mfu 4.29%
iter 2310: loss 6.0939, time 651.64ms, mfu 4.29%
iter 2320: loss 6.4703, time 651.38ms, mfu 4.29%
iter 2330: loss 5.8451, time 649.76ms, mfu 4.30%
iter 2340: loss 6.5086, time 650.65ms, mfu 4.30%
iter 2350: loss 5.9700, time 649.20ms, mfu 4.30%
iter 2360: loss 6.7320, time 648.79ms, mfu 4.30%
iter 2370: loss 6.1816, time 648.99ms, mfu 4.30%
iter 2380: loss 6.1518, time 649.93ms, mfu 4.31%
iter 2390: loss 5.8999, time 652.97ms, mfu 4.30%
iter 2400: loss 5.9712, time 647.16ms, mfu 4.31%
iter 2410: loss 5.9476, time 652.42ms, mfu 4.31%
iter 2420: loss 6.2800, time 650.48ms, mfu 4.31%
iter 2430: loss 5.8191, time 650.48ms, mfu 4.31%
iter 2440: loss 6.7019, time 651.88ms, mfu 4.31%
iter 2450: loss 5.8925, time 649.42ms, mfu 4.31%
iter 2460: loss 5.2419, time 650.93ms, mfu 4.31%
iter 2470: loss 5.8934, time 651.37ms, mfu 4.31%
iter 2480: loss 6.5144, time 648.63ms, mfu 4.31%
iter 2490: loss 5.7162, time 651.63ms, mfu 4.31%
step 2500: train loss 6.0125, val loss 6.0515
saving checkpoint to out
iter 2500: loss 6.1750, time 17775.54ms, mfu 3.89%
iter 2510: loss 5.9698, time 650.06ms, mfu 3.94%
iter 2520: loss 6.0681, time 649.85ms, mfu 3.97%
iter 2530: loss 5.7107, time 647.16ms, mfu 4.01%
iter 2540: loss 6.4259, time 652.78ms, mfu 4.04%
iter 2550: loss 5.8856, time 650.14ms, mfu 4.07%
iter 2560: loss 6.0470, time 650.25ms, mfu 4.09%
iter 2570: loss 6.2671, time 649.71ms, mfu 4.11%
iter 2580: loss 6.1066, time 649.03ms, mfu 4.14%
iter 2590: loss 6.0863, time 649.07ms, mfu 4.15%
iter 2600: loss 5.2557, time 650.14ms, mfu 4.17%
iter 2610: loss 5.8931, time 651.76ms, mfu 4.18%
iter 2620: loss 6.7030, time 649.07ms, mfu 4.20%
iter 2630: loss 6.2909, time 651.25ms, mfu 4.21%
iter 2640: loss 5.5023, time 650.76ms, mfu 4.22%
iter 2650: loss 5.5792, time 651.13ms, mfu 4.23%
iter 2660: loss 6.1010, time 651.17ms, mfu 4.24%
iter 2670: loss 5.8824, time 648.68ms, mfu 4.24%
iter 2680: loss 5.9650, time 649.34ms, mfu 4.25%
iter 2690: loss 6.1317, time 652.13ms, mfu 4.26%
iter 2700: loss 6.1360, time 650.79ms, mfu 4.26%
iter 2710: loss 6.2594, time 650.87ms, mfu 4.27%
iter 2720: loss 6.1032, time 651.30ms, mfu 4.27%
iter 2730: loss 5.7869, time 653.39ms, mfu 4.27%
iter 2740: loss 6.0765, time 649.54ms, mfu 4.28%
iter 2750: loss 6.3260, time 649.04ms, mfu 4.28%
iter 2760: loss 5.8057, time 649.63ms, mfu 4.29%
iter 2770: loss 5.8560, time 652.21ms, mfu 4.29%
iter 2780: loss 5.7698, time 651.03ms, mfu 4.29%
iter 2790: loss 5.3789, time 652.09ms, mfu 4.29%
iter 2800: loss 5.9438, time 649.46ms, mfu 4.29%
iter 2810: loss 6.1649, time 649.29ms, mfu 4.30%
iter 2820: loss 6.3612, time 652.30ms, mfu 4.30%
iter 2830: loss 5.9520, time 650.95ms, mfu 4.30%
iter 2840: loss 5.4410, time 650.51ms, mfu 4.30%
iter 2850: loss 5.6996, time 650.85ms, mfu 4.30%
iter 2860: loss 5.6244, time 649.66ms, mfu 4.30%
iter 2870: loss 5.5885, time 651.36ms, mfu 4.30%
iter 2880: loss 5.5676, time 650.40ms, mfu 4.30%
iter 2890: loss 5.8549, time 650.83ms, mfu 4.30%
iter 2900: loss 5.8670, time 651.74ms, mfu 4.30%
iter 2910: loss 6.0712, time 649.87ms, mfu 4.31%
iter 2920: loss 5.8375, time 649.00ms, mfu 4.31%
iter 2930: loss 6.0027, time 653.65ms, mfu 4.31%
iter 2940: loss 5.8526, time 650.37ms, mfu 4.31%
iter 2950: loss 5.3542, time 652.08ms, mfu 4.31%
iter 2960: loss 5.3620, time 650.86ms, mfu 4.31%
iter 2970: loss 5.6898, time 649.37ms, mfu 4.31%
iter 2980: loss 5.9452, time 650.32ms, mfu 4.31%
iter 2990: loss 5.9813, time 651.11ms, mfu 4.31%
step 3000: train loss 5.8531, val loss 5.8780
saving checkpoint to out
iter 3000: loss 6.1749, time 17818.72ms, mfu 3.89%
iter 3010: loss 6.2799, time 647.52ms, mfu 3.94%
iter 3020: loss 5.8189, time 649.81ms, mfu 3.98%
iter 3030: loss 5.8213, time 647.14ms, mfu 4.01%
iter 3040: loss 6.0569, time 650.14ms, mfu 4.04%
iter 3050: loss 6.1204, time 647.92ms, mfu 4.07%
iter 3060: loss 6.1094, time 648.33ms, mfu 4.10%
iter 3070: loss 6.1112, time 650.62ms, mfu 4.12%
iter 3080: loss 6.6449, time 650.79ms, mfu 4.14%
iter 3090: loss 5.6505, time 649.36ms, mfu 4.16%
iter 3100: loss 5.6701, time 650.47ms, mfu 4.17%
iter 3110: loss 5.7562, time 652.08ms, mfu 4.18%
iter 3120: loss 5.4468, time 648.44ms, mfu 4.20%
iter 3130: loss 5.6707, time 651.26ms, mfu 4.21%
iter 3140: loss 5.9936, time 649.18ms, mfu 4.22%
iter 3150: loss 6.2535, time 650.72ms, mfu 4.23%
iter 3160: loss 5.8881, time 650.49ms, mfu 4.24%
iter 3170: loss 6.1813, time 651.01ms, mfu 4.25%
iter 3180: loss 5.7376, time 649.57ms, mfu 4.25%
iter 3190: loss 5.9376, time 652.95ms, mfu 4.26%
iter 3200: loss 5.8946, time 648.89ms, mfu 4.26%
iter 3210: loss 5.6046, time 649.75ms, mfu 4.27%
iter 3220: loss 5.8393, time 651.88ms, mfu 4.27%
iter 3230: loss 5.9011, time 648.97ms, mfu 4.28%
iter 3240: loss 5.4996, time 652.17ms, mfu 4.28%
iter 3250: loss 5.9354, time 650.77ms, mfu 4.28%
iter 3260: loss 6.2289, time 650.12ms, mfu 4.29%
iter 3270: loss 5.9338, time 649.45ms, mfu 4.29%
iter 3280: loss 5.9986, time 649.33ms, mfu 4.29%
iter 3290: loss 5.6225, time 649.99ms, mfu 4.29%
iter 3300: loss 5.5074, time 651.42ms, mfu 4.30%
iter 3310: loss 5.8158, time 649.31ms, mfu 4.30%
iter 3320: loss 6.0727, time 650.33ms, mfu 4.30%
iter 3330: loss 5.6359, time 649.71ms, mfu 4.30%
iter 3340: loss 5.6362, time 652.10ms, mfu 4.30%
iter 3350: loss 6.1432, time 648.87ms, mfu 4.30%
iter 3360: loss 5.6066, time 650.81ms, mfu 4.30%
iter 3370: loss 6.4852, time 649.92ms, mfu 4.31%
iter 3380: loss 6.6425, time 1256.45ms, mfu 4.10%
iter 3390: loss 5.7795, time 650.43ms, mfu 4.12%
iter 3400: loss 5.9971, time 651.90ms, mfu 4.14%
iter 3410: loss 5.9016, time 650.69ms, mfu 4.16%
iter 3420: loss 5.7352, time 650.15ms, mfu 4.17%
iter 3430: loss 6.3255, time 649.97ms, mfu 4.19%
