
step 0: train loss 10.9873, val loss 10.9915
/home/yxdong/anaconda3/envs/dyx-py38/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:131: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
iter 2740: loss 8.1792, time 655.56ms, mfu 4.24%
iter 2750: loss 8.3641, time 658.47ms, mfu 4.24%
iter 2760: loss 8.2147, time 657.61ms, mfu 4.24%
iter 2770: loss 7.7585, time 657.10ms, mfu 4.24%
iter 2780: loss 8.1733, time 657.19ms, mfu 4.25%
iter 2790: loss 7.9562, time 657.27ms, mfu 4.25%
iter 2800: loss 8.2879, time 656.29ms, mfu 4.25%
iter 2810: loss 8.3330, time 657.83ms, mfu 4.25%
iter 2820: loss 8.5000, time 659.67ms, mfu 4.25%
iter 2830: loss 8.1585, time 658.75ms, mfu 4.25%
iter 2840: loss 7.8878, time 656.75ms, mfu 4.26%
iter 2850: loss 8.1187, time 657.52ms, mfu 4.26%
iter 2860: loss 7.7643, time 655.70ms, mfu 4.26%
iter 2870: loss 8.0532, time 658.34ms, mfu 4.26%
iter 2880: loss 7.8061, time 658.63ms, mfu 4.26%
iter 2890: loss 8.1731, time 654.85ms, mfu 4.26%
iter 2900: loss 8.1835, time 656.25ms, mfu 4.26%
iter 2910: loss 8.3485, time 657.50ms, mfu 4.26%
iter 2920: loss 8.1699, time 657.72ms, mfu 4.26%
iter 2930: loss 8.1810, time 655.68ms, mfu 4.26%
iter 2940: loss 8.3156, time 656.19ms, mfu 4.27%
iter 2950: loss 7.7617, time 654.52ms, mfu 4.27%
iter 2960: loss 7.9846, time 654.73ms, mfu 4.27%
iter 2970: loss 8.1278, time 656.42ms, mfu 4.27%
iter 2980: loss 8.1997, time 658.37ms, mfu 4.27%
iter 2990: loss 8.0528, time 658.32ms, mfu 4.27%
step 3000: train loss 8.1825, val loss 8.1834
saving checkpoint to out
iter 3000: loss 8.2230, time 17483.31ms, mfu 3.86%
iter 3010: loss 8.3763, time 655.00ms, mfu 3.90%
iter 3020: loss 8.1368, time 655.38ms, mfu 3.94%
iter 3030: loss 7.9949, time 656.88ms, mfu 3.97%
iter 3040: loss 8.2322, time 655.72ms, mfu 4.00%
iter 3050: loss 8.4439, time 655.45ms, mfu 4.03%
iter 3060: loss 8.2032, time 656.66ms, mfu 4.05%
iter 3070: loss 8.0508, time 658.83ms, mfu 4.07%
iter 3080: loss 8.7493, time 656.94ms, mfu 4.09%
iter 3090: loss 8.0701, time 655.38ms, mfu 4.11%
iter 3100: loss 8.0283, time 656.61ms, mfu 4.13%
iter 3110: loss 8.2146, time 658.48ms, mfu 4.14%
iter 3120: loss 8.1467, time 658.25ms, mfu 4.15%
iter 3130: loss 8.2274, time 658.56ms, mfu 4.16%
iter 3140: loss 8.0564, time 658.30ms, mfu 4.17%
iter 3150: loss 8.2729, time 657.33ms, mfu 4.18%
iter 3160: loss 8.2342, time 656.47ms, mfu 4.19%
iter 3170: loss 8.0014, time 657.99ms, mfu 4.20%
iter 3180: loss 7.8678, time 656.18ms, mfu 4.21%
iter 3190: loss 8.2326, time 657.56ms, mfu 4.21%
iter 3200: loss 8.1196, time 656.38ms, mfu 4.22%
iter 3210: loss 7.8371, time 657.45ms, mfu 4.22%
iter 3220: loss 8.1108, time 656.50ms, mfu 4.23%
iter 3230: loss 8.1452, time 656.28ms, mfu 4.23%
iter 3240: loss 7.8471, time 658.67ms, mfu 4.24%
iter 3250: loss 8.1439, time 656.08ms, mfu 4.24%
iter 3260: loss 8.4887, time 658.33ms, mfu 4.24%
iter 3270: loss 8.0816, time 655.39ms, mfu 4.25%
iter 3280: loss 8.1075, time 655.99ms, mfu 4.25%
iter 3290: loss 7.8936, time 658.31ms, mfu 4.25%
iter 3300: loss 7.7575, time 657.77ms, mfu 4.25%
iter 3310: loss 8.0407, time 658.50ms, mfu 4.25%
iter 3320: loss 8.4536, time 655.79ms, mfu 4.26%
iter 3330: loss 7.8878, time 657.49ms, mfu 4.26%
iter 3340: loss 7.8507, time 657.87ms, mfu 4.26%
